order_id,user_id,user_gender,user_age,age_group,user_level,city,province,region,product_id,product_name,category,brand,supplier,price,cost,quantity,discount,coupon_amount,payment_method,sales_channel,traffic_source,campaign_name,device_type,store_id,store_type,order_date,order_hour,is_returned,return_reason,delivery_days,customer_rating
O00000085,U04217,男,21,18-22,普通会员,武汉,湖北,华中,P018,咖啡,食品饮料,BeanGo,云南咖啡供应链,43.85,24.17,1,0.95,10,支付宝,直播间,直播推荐,开学季,iOS,S037,社区店,2026-05-29,18,0,,2,4
O00000086,U00702,男,21,18-22,金卡会员,沈阳,辽宁,东北,P007,办公椅,电脑办公,WorkLife,杭州森木家具,795.74,405.91,1,0.95,0,支付宝,手机App,校园社群,无活动,iOS,S016,仓储店,2026-02-01,18,0,,4,4
O00000087,U01772,男,22,18-22,普通会员,沈阳,辽宁,东北,P010,双肩包,生活用品,CampusBag,广州行者箱包,121.18,61.35,1,0.9,50,校园卡,手机App,校园社群,618大促,PC,S030,校园店,2026-02-24,8,0,,3,4
O00000088,U01379,女,47,41+,学生会员,沈阳,辽宁,东北,P009,保温杯,生活用品,WarmCup,大连优品贸易,39.22,18.19,1,0.85,0,银行卡,直播间,直播推荐,会员日,Android,S037,社区店,2026-04-23,12,0,,3,5
O00000089,U02031,女,26,23-30,新客,大连,辽宁,东北,P006,显示器,电脑办公,ViewStar,青岛海新显示,1281.27,891.32,1,0.9,10,支付宝,线上商城,自然搜索,618大促,PC,S033,校园店,2026-04-20,21,0,,2,4
O00000090,U01936,女,45,41+,银卡会员,天津,天津,华北,P014,运动外套,服饰运动,MovePro,上海服饰集团,318.19,149.79,1,0.95,10,信用卡,线上商城,自然搜索,618大促,PC,S022,仓储店,2026-01-27,22,0,,1,5
O00000091,U07234,女,19,18-22,新客,广州,广东,华南,P015,瑜伽垫,服饰运动,FitLife,杭州健身用品,71.92,32.09,1,1.0,10,支付宝,手机App,自然搜索,开学季,PC,S037,旗舰店,2026-05-08,10,0,,3,4
O00000092,U05629,女,21,18-22,普通会员,大连,辽宁,东北,P019,坚果礼盒,食品饮料,NutPlus,杭州食品贸易,165.35,88.43,3,1.0,0,银行卡,手机App,自然搜索,无活动,Android,S008,商场店,2026-06-11,19,0,,6,4
O00000093,U08990,女,35,31-40,银卡会员,深圳,广东,华南,P024,文件夹,图书文具,OfficeKit,大连办公用品,8.18,2.9,1,0.8,0,信用卡,第三方平台,自然搜索,无活动,iOS,S003,校园店,2026-01-05,18,0,,2,5
O00000094,U00485,女,29,23-30,银卡会员,杭州,浙江,华东,P028,护手霜,美妆个护,SoftHand,杭州美护用品,30.45,11.78,1,0.95,0,校园卡,线下门店,线下到店,开学季,门店收银,S033,社区店,2026-03-27,22,0,,4,4
O00000095,U01191,男,18,18-22,普通会员,大连,辽宁,东北,P023,签字笔,图书文具,WriteWell,上海文具贸易,5.02,2.15,4,0.9,5,微信支付,第三方平台,自然搜索,新人券,Android,S003,校园店,2026-06-08,20,0,,2,5
O00000096,U04636,男,20,18-22,新客,大连,辽宁,东北,P005,笔记本电脑,电脑办公,NorthBook,北京星辰科技,4643.6,4122.81,2,0.95,0,校园卡,线下门店,线下到店,无活动,门店收银,S025,校园店,2026-04-19,14,0,,3,5
O00000097,U03656,女,28,23-30,普通会员,大连,辽宁,东北,P015,瑜伽垫,服饰运动,FitLife,杭州健身用品,89.55,34.07,1,0.95,0,信用卡,直播间,直播推荐,无活动,iOS,S023,校园店,2026-04-11,12,0,,2,4
O00000098,U07311,女,21,18-22,银卡会员,武汉,湖北,华中,P024,文件夹,图书文具,OfficeKit,大连办公用品,8.49,3.15,1,0.9,5,信用卡,线上商城,自然搜索,新人券,Android,S029,社区店,2026-04-09,15,0,,2,4
O00000099,U03509,男,32,31-40,金卡会员,大连,辽宁,东北,P003,蓝牙耳机,数码配件,SoundGo,深圳声联科技,237.71,159.34,1,0.9,10,银行卡,线上商城,老客复购,新人券,PC,S036,校园店,2026-01-20,18,0,,4,5
O00000100,U02406,女,22,18-22,普通会员,广州,广东,华南,P027,电动牙刷,美妆个护,SmileTech,深圳个护科技,186.78,107.21,2,1.0,5,银行卡,手机App,校园社群,会员日,PC,S010,旗舰店,2026-03-03,12,0,,4,4
